--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
 94700K .......... .......... .......... .......... .......... 92% 33.4M 0s
 94750K .......... .......... .......... .......... .......... 92% 84.6M 0s
 94800K .......... .......... .......... .......... .......... 92% 50.2M 0s
 94850K .......... .......... .......... .......... .......... 92%  114M 0s
 94900K .......... .......... .......... .......... .......... 92%  109M 0s
 94950K .......... .......... .......... .......... .......... 92% 86.0M 0s
 95000K .......... .......... .......... .......... .......... 92% 73.6M 0s
 95050K .......... .......... .......... .......... .......... 92% 57.8M 0s
 95100K .......... .......... .......... .......... .......... 92%  114M 0s
 95150K .......... .......... .......... .......... .......... 92% 47.4M 0s
 95200K .......... .......... .......... .......... .......... 93% 46.2M 0s
 95250K .......... .......... .......... .......... .......... 93% 44.2M 0s
 95300K .......... .......... .......... .......... .......... 93% 45.2M 0s
 95350K .......... .......... .......... .......... .......... 93%  105M 0s
 95400K .......... .......... .......... .......... .......... 93% 48.8M 0s
 95450K .......... .......... .......... .......... .......... 93% 44.8M 0s
 95500K .......... .......... .......... .......... .......... 93% 45.3M 0s
 95550K .......... .......... .......... .......... .......... 93% 90.5M 0s
 95600K .......... .......... .......... .......... .......... 93% 54.3M 0s
 95650K .......... .......... .......... .......... .......... 93% 42.8M 0s
 95700K .......... .......... .......... .......... .......... 93% 45.5M 0s
 95750K .......... .......... .......... .......... .......... 93% 49.4M 0s
 95800K .......... .......... .......... .......... .......... 93%  110M 0s
 95850K .......... .......... .......... .......... .......... 93% 49.8M 0s
 95900K .......... .......... .......... .......... .......... 93% 48.3M 0s
 95950K .......... .......... .......... .......... .......... 93% 49.4M 0s
 96000K .......... .......... .......... .......... .......... 93% 51.7M 0s
 96050K .......... .......... .......... .......... .......... 93%  113M 0s
 96100K .......... .......... .......... .......... .......... 93% 11.1M 0s
 96150K .......... .......... .......... .......... .......... 93% 44.4M 0s
 96200K .......... .......... .......... .......... .......... 93%  124M 0s
 96250K .......... .......... .......... .......... .......... 94%  105M 0s
 96300K .......... .......... .......... .......... .......... 94% 67.6M 0s
 96350K .......... .......... .......... .......... .......... 94%  124M 0s
 96400K .......... .......... .......... .......... .......... 94%  100M 0s
 96450K .......... .......... .......... .......... .......... 94% 79.7M 0s
 96500K .......... .......... .......... .......... .......... 94% 57.6M 0s
 96550K .......... .......... .......... .......... .......... 94% 63.3M 0s
 96600K .......... .......... .......... .......... .......... 94%  107M 0s
 96650K .......... .......... .......... .......... .......... 94% 58.6M 0s
 96700K .......... .......... .......... .......... .......... 94% 56.5M 0s
 96750K .......... .......... .......... .......... .......... 94% 41.5M 0s
 96800K .......... .......... .......... .......... .......... 94%  119M 0s
 96850K .......... .......... .......... .......... .......... 94% 39.7M 0s
 96900K .......... .......... .......... .......... .......... 94% 65.1M 0s
 96950K .......... .......... .......... .......... .......... 94% 41.1M 0s
 97000K .......... .......... .......... .......... .......... 94% 62.8M 0s
 97050K .......... .......... .......... .......... .......... 94% 54.2M 0s
 97100K .......... .......... .......... .......... .......... 94% 64.0M 0s
 97150K .......... .......... .......... .......... .......... 94% 67.3M 0s
 97200K .......... .......... .......... .......... .......... 94% 39.1M 0s
 97250K .......... .......... .......... .......... .......... 95% 39.9M 0s
 97300K .......... .......... .......... .......... .......... 95% 99.6M 0s
 97350K .......... .......... .......... .......... .......... 95% 44.9M 0s
 97400K .......... .......... .......... .......... .......... 95% 41.4M 0s
 97450K .......... .......... .......... .......... .......... 95% 59.0M 0s
 97500K .......... .......... .......... .......... .......... 95% 62.8M 0s
 97550K .......... .......... .......... .......... .......... 95% 8.79M 0s
 97600K .......... .......... .......... .......... .......... 95%  103M 0s
 97650K .......... .......... .......... .......... .......... 95% 64.6M 0s
 97700K .......... .......... .......... .......... .......... 95% 40.0M 0s
 97750K .......... .......... .......... .......... .......... 95%  808M 0s
 97800K .......... .......... .......... .......... .......... 95%  179M 0s
 97850K .......... .......... .......... .......... .......... 95% 63.9M 0s
 97900K .......... .......... .......... .......... .......... 95% 39.4M 0s
 97950K .......... .......... .......... .......... .......... 95%  101M 0s
 98000K .......... .......... .......... .......... .......... 95% 25.6M 0s
 98050K .......... .......... .......... .......... .......... 95% 92.0M 0s
 98100K .......... .......... .......... .......... .......... 95% 39.2M 0s
 98150K .......... .......... .......... .......... .......... 95% 39.0M 0s
 98200K .......... .......... .......... .......... .......... 95% 60.5M 0s
 98250K .......... .......... .......... .......... .......... 95% 40.2M 0s
 98300K .......... .......... .......... .......... .......... 96%  134M 0s
 98350K .......... .......... .......... .......... .......... 96% 39.5M 0s
 98400K .......... .......... .......... .......... .......... 96% 40.5M 0s
 98450K .......... .......... .......... .......... .......... 96% 63.7M 0s
 98500K .......... .......... .......... .......... .......... 96%  105M 0s
 98550K .......... .......... .......... .......... .......... 96% 42.9M 0s
 98600K .......... .......... .......... .......... .......... 96% 59.0M 0s
 98650K .......... .......... .......... .......... .......... 96% 42.9M 0s
 98700K .......... .......... .......... .......... .......... 96% 59.2M 0s
 98750K .......... .......... .......... .......... .......... 96%  101M 0s
 98800K .......... .......... .......... .......... .......... 96% 43.9M 0s
 98850K .......... .......... .......... .......... .......... 96% 57.3M 0s
 98900K .......... .......... .......... .......... .......... 96% 40.0M 0s
 98950K .......... .......... .......... .......... .......... 96% 7.58M 0s
 99000K .......... .......... .......... .......... .......... 96%  168M 0s
 99050K .......... .......... .......... .......... .......... 96%  113M 0s
 99100K .......... .......... .......... .......... .......... 96%  127M 0s
 99150K .......... .......... .......... .......... .......... 96% 60.1M 0s
 99200K .......... .......... .......... .......... .......... 96%  110M 0s
 99250K .......... .......... .......... .......... .......... 96% 96.4M 0s
 99300K .......... .......... .......... .......... .......... 97%  131M 0s
 99350K .......... .......... .......... .......... .......... 97% 71.7M 0s
 99400K .......... .......... .......... .......... .......... 97% 90.4M 0s
 99450K .......... .......... .......... .......... .......... 97%  154M 0s
 99500K .......... .......... .......... .......... .......... 97%  116M 0s
 99550K .......... .......... .......... .......... .......... 97%  138M 0s
 99600K .......... .......... .......... .......... .......... 97% 41.7M 0s
 99650K .......... .......... .......... .......... .......... 97% 23.3M 0s
 99700K .......... .......... .......... .......... .......... 97%  593M 0s
 99750K .......... .......... .......... .......... .......... 97%  172M 0s
 99800K .......... .......... .......... .......... .......... 97% 38.3M 0s
 99850K .......... .......... .......... .......... .......... 97% 65.2M 0s
 99900K .......... .......... .......... .......... .......... 97% 53.8M 0s
 99950K .......... .......... .......... .......... .......... 97%  198M 0s
100000K .......... .......... .......... .......... .......... 97% 38.5M 0s
100050K .......... .......... .......... .......... .......... 97% 62.0M 0s
100100K .......... .......... .......... .......... .......... 97% 55.8M 0s
100150K .......... .......... .......... .......... .......... 97% 42.7M 0s
100200K .......... .......... .......... .......... .......... 97% 55.7M 0s
100250K .......... .......... .......... .......... .......... 97% 23.7M 0s
100300K .......... .......... .......... .......... .......... 97% 29.4M 0s
100350K .......... .......... .......... .......... .......... 98% 44.5M 0s
100400K .......... .......... .......... .......... .......... 98% 9.39M 0s
100450K .......... .......... .......... .......... .......... 98% 41.5M 0s
100500K .......... .......... .......... .......... .......... 98% 54.5M 0s
100550K .......... .......... .......... .......... .......... 98%  151M 0s
100600K .......... .......... .......... .......... .......... 98%  100M 0s
100650K .......... .......... .......... .......... .......... 98%  145M 0s
100700K .......... .......... .......... .......... .......... 98% 54.5M 0s
100750K .......... .......... .......... .......... .......... 98%  159M 0s
100800K .......... .......... .......... .......... .......... 98%  105M 0s
100850K .......... .......... .......... .......... .......... 98%  132M 0s
100900K .......... .......... .......... .......... .......... 98% 60.5M 0s
100950K .......... .......... .......... .......... .......... 98% 56.6M 0s
101000K .......... .......... .......... .......... .......... 98% 56.2M 0s
101050K .......... .......... .......... .......... .......... 98% 77.3M 0s
101100K .......... .......... .......... .......... .......... 98% 52.8M 0s
101150K .......... .......... .......... .......... .......... 98% 46.5M 0s
101200K .......... .......... .......... .......... .......... 98% 37.2M 0s
101250K .......... .......... .......... .......... .......... 98% 61.1M 0s
101300K .......... .......... .......... .......... .......... 98%  115M 0s
101350K .......... .......... .......... .......... .......... 99% 43.6M 0s
101400K .......... .......... .......... .......... .......... 99% 41.3M 0s
101450K .......... .......... .......... .......... .......... 99% 38.4M 0s
101500K .......... .......... .......... .......... .......... 99% 60.1M 0s
101550K .......... .......... .......... .......... .......... 99% 64.1M 0s
101600K .......... .......... .......... .......... .......... 99% 58.2M 0s
101650K .......... .......... .......... .......... .......... 99% 67.7M 0s
101700K .......... .......... .......... .......... .......... 99% 50.9M 0s
